"Permanent Call Number","Location Name","PLACE_CODE","BEGIN_PUB_DATE","Title","Age","Region"
"F1465.2.Q5 M3813 1984","3rd Floor","enk",1984.0,"I, Rigoberta Menchu? : an Indian woman in Guatemala /",37.0,"Europe"
"F2849.2 .S98 1993","3rd Floor","pau",1993.0,"Frondizi and the politics of developmentalism in Argentina, 1955-62 /",28.0,"North America"
"F1408.3 .C5954 2008","3rd Floor","ncu",2008.0,"Coloniality at large : Latin America and the postcolonial debate /",13.0,"North America"
"F3429.3.A7 S26","3rd Floor","nyu",1968.0,"Mastercraftsmen of ancient Peru /",53.0,"North America"
"F2519.1 .A6 R56","Main Collection Storage","nyu",1980.0,"Parmana : prehistoric maize and manioc subsistence along the Amazon and Orinoco /",41.0,"North America"
"F1741 .F3","3rd Floor","nju",1965.0,"Cuba, Haiti, & the Dominican Republic /",56.0,"North America"
"F2520.1.S4 N5 1967","Main Collection Storage","cau",1967.0,"The Serente,",54.0,"North America"
"F1776 .R8","3rd Floor","mau",1968.0,"Cuba; the making of a revolution.",53.0,"North America"
"F1981.V5 A95 2011","3rd Floor","nju",2011.0,"Battleship Vieques : Puerto Rico from World War II to the Korean War /",10.0,"North America"
"F1565.2.C8 H694 1998","3rd Floor","dcu",1998.0,"A people who would not kneel : Panama, the United States, and the San Blas Kuna /",23.0,"North America"
"F1232 .W38 2000","3rd Floor","nmu",2000.0,"Everyday life and politics in nineteenth century Mexico : men, women, and war /",21.0,"North America"
"F1435 .V733 1969","Main Collection Storage","mau",1969.0,"Zinacanta?n: a Maya community in the highlands of Chiapas",52.0,"North America"
"F1035 .A5 W5","Main Collection Storage","nyu",1971.0,"The new exiles; American war resisters in Canada.",50.0,"North America"
"F3126 .B33 2007","3rd Floor","txu",2007.0,"Shamans of the foye tree : gender, power, and healing among Chilean Mapuche /",14.0,"North America"
"F1219.1.O11 S74 2007","3rd Floor","dcu",2007.0,"Transborder lives : indigenous Oaxacans in Mexico, California, and Oregon /",14.0,"North America"
"F1059.5.C67 P37 2004","3rd Floor","nyu",2004.0,"From great wilderness to Seaway towns : a comparative history of Cornwall, Ontario, and Massena, New York, 1784-2001 /",17.0,"North America"
"F1219.3.R38 I26 2017","3rd Floor","mx",2017.0,"Iconografi?a mexicana XIII : dioses y he?roes /",4.0,"North America"
"F3448.2 .P49 1983","3rd Floor","nju",1983.0,"The Peruvian experiment reconsidered /",38.0,"North America"
"F3429 .D57 2010","3rd Floor","iau",2010.0,"Distant provinces in the Inka empire : toward a deeper understanding of Inka imperialism /",11.0,"North America"
"F3099 .S85 1970","Main Collection Storage","ctu",1970.0,"The Chilean Popular Front /",51.0,"North America"
"F1219.3.C85 E37 1987","3rd Floor","azu",1987.0,"Ejidos and regions of refuge in northwestern Mexico /",34.0,"North America"
"F3448.2 .S23 1986","3rd Floor","cou",1987.0,"Political development and democracy in Peru : continuity in change and crisis /",34.0,"North America"
"F1435.1 C43 A73 1986","3rd Floor","txu",1991.0,"Archaeology at Cerros, Belize, Central America /",30.0,"North America"
"F1435.1.A4 G72 1972","3rd Floor","mau",1972.0,"The hieroglyphic inscriptions and monumental art of Altar de Sacrificios,",49.0,"North America"
"F1235 .N38 2010","3rd Floor","pau",2010.0,"Political intelligence and the creation of modern Mexico, 1938-1954 /",11.0,"North America"
"F1226 .T66 1973","Main Collection Storage","xx",1973.0,"Compendio de historia de Mexico",48.0,"No place"
"F3429.1.P22 A77 2008","3rd Floor","pe",2008.0,"Arqueologi?a de la costa centro sur peruana /",13.0,"South America"
"F1436.8.M6 B83 1996","3rd Floor","alu",1996.0,"In the shadow of the giant : the making of Mexico's Central America policy, 1876-1930 /",25.0,"North America"
"F2229 .H46 2013","3rd Floor","nmu",2013.0,"The course of Andean history /",8.0,"North America"
"F1236 .Q55 2001","3rd Floor","nmu",2001.0,"True tales from another Mexico : the Lynch Mob, the Popsicle Kings, Chalino, and the Bronx /",20.0,"North America"
"F1234.O2 A48 2008","3rd Floor","mx",2008.0,"Un di?a en la vida del general Obrego?n /",13.0,"North America"
"F1488 .G67 2000","3rd Floor","cau",2000.0,"From grandmother to granddaughter : Salvadoran women's stories /",21.0,"North America"
"F1412 .S5 1960","Main Collection Storage","mx",1960.0,"Obras histo?ricas /",61.0,"North America"
"F1230 .G7715 1973","Main Collection Storage","mx",1973.0,"Itinerario de Herna?n Corte?s. Itinerary of Hernan Cortes.",48.0,"North America"
"F2849 .M393 1997","3rd Floor","cau",1997.0,"Peronism without Pero?n : unions, parties, and democracy in Argentina /",24.0,"North America"
"F2546 .S83 1985","Main Collection Storage","nyu",1985.0,"Dreams of Amazonia /",36.0,"North America"
"F1219.56.C636 L45 2007","3rd Floor","mx",2007.0,"La creacio?n del mundo segu?n el Co?dice Vindobonensis /",14.0,"North America"
"F3099 .W6 1972","Main Collection Storage","mau",1972.0,"Cuban foreign policy and Chilean politics",49.0,"North America"
"F1565.2.G8 B6 1985","Main Collection Storage","mau",1985.0,"Ethnic diversity on a corporate plantation : Guaymi labor on a United Brands subsidiary in Bocas del Toro, Panama and Talamanca, Costa Rica /",36.0,"North America"
"F1030.2 .R42","3rd Floor","nyu",1929.0,"Pe?re Marquette, priest, pioneer and adventurer /",92.0,"North America"
"F2277 .G24 S48","3rd Floor","pau",1978.0,"Gaita?n of Colombia : a political biography /",43.0,"North America"
"F1219.3 .R38 C33","Main Collection Storage","mx",1937.0,"The religion of the Aztecs.",84.0,"North America"
"F3429.H826 M67 1985","3rd Floor","enk",1985.0,"Hua?nuco Pampa : an Inca city and its hinterland /",36.0,"Europe"
"F1219.3.A7 T6 1952","3rd Floor","mx",1970.0,"Arte precolombino de Me?xico y de la Ame?rica Central /",51.0,"North America"
"F2510 .W26","3rd Floor","nyu",1963.0,"An introduction to Brazil.",58.0,"North America"
"F1234 .D543","3rd Floor","nyu",1910.0,"Porfirio Diaz, president of Mexico, the master builder of a great commonwealth /",111.0,"North America"
"F1221.C57 H67 2016","3rd Floor","cou",2016.0,"Chol (Mayan) folktales : a collection of stories from the modern Maya of Southern Mexico /",5.0,"North America"
"F1035.C7 W55 2007","3rd Floor","onc",2007.0,"We are now a nation : Croats between 'home' and 'homeland' /",14.0,"North America"
"F1219.7 .D38 1982b","3rd Floor","enk",1982.0,"The ancient kingdoms of Mexico /",39.0,"Europe"
"F1221.M7 P367 2005","3rd Floor","mx",2005.0,"Pasado y presente de la cultura mixteca /",16.0,"North America"
"F1787 .L57 1987","3rd Floor","nbu",1987.0,"Roots of revolution : radical thought in Cuba /",34.0,"North America"
"F1232 .B374 1959","Main Collection Storage","mx",1959.0,"Aventuras en Me?xico y Texas del coronel E.P. Bean : sus memorias /",62.0,"North America"
"F1219.3 .W6 A5","Main Collection Storage","nyu",1973.0,"Woman in pre-Columbian America /",48.0,"North America"
"F2221 .H3","Main Collection Storage","nyu",1967.0,"South from the Spanish main; South America seen through the eyes of its discoverers,",54.0,"North America"
"F1219.1.M5 A94 2005","3rd Floor","mx",2005.0,"El Pen?o?n de los Ban?os y la leyenda de Copil /",16.0,"North America"
"F1246 .R6313","Main Collection Storage","cau",1972.0,"Historical notes on Lower California, with some relative to upper California furnished to the Bancroft Library by Manuel C. Rojo, 1879.",49.0,"North America"
"F1435 .L87","Main Collection Storage","nmu",1981.0,"Lowland Maya settlement patterns /",40.0,"North America"
"F1210 .S7","Main Collection Storage","nyu",1941.0,"The forgotten village, : with 136 photographs from the film of the same name, /",80.0,"North America"
"F1219.76.R45 C372 1990","3rd Floor","cau",1990.0,"Religions of Mesoamerica : cosmovision and ceremonial centers /",31.0,"North America"
"F1221 .L2 M4 1990","3rd Floor","cau",1990.0,"Life, ritual, and religion among the Lacandon Maya /",31.0,"North America"
"F1410 .B17 1971","Main Collection Storage","nyu",1971.0,"Nationalism in Latin America.",50.0,"North America"
"F2681 .R62 1991","3rd Floor","cou",1991.0,"Paraguay : the personalist legacy /",30.0,"North America"
"F1219 .E18 1976","3rd Floor","nyu",1976.0,"The Early Mesoamerican village /",45.0,"North America"
"F3319.1.T57 S73 2003","3rd Floor","cau",2003.0,"Ancient Titicaca : the evolution of complex society in southern Peru and northern Bolivia /",18.0,"North America"
"F2270.2 .D4 R42 1985","3rd Floor","cau",1985.0,"Basketry as metaphor : arts and crafts of the Desana Indians of the northwest Amazon /",36.0,"North America"
"F1435.1.C7 N49 2001","3rd Floor","txu",2001.0,"Trees of paradise and pillars of the world : the serial stela cycle of '18-Rabbit-God K,' King of Copan /",20.0,"North America"
"F1219.3.R38 T38 2011","3rd Floor","cau",2011.0,"The invisible war : indigenous devotions, discipline, and dissent in colonial Mexico /",10.0,"North America"
"F1219.1 .T2 K35","3rd Floor","flu",1972.0,"The sculptures of El Taji?n, Veracruz, Mexico.",49.0,"North America"
"F2235 .N5 1969","3rd Floor","nyu",1969.0,"The liberators; a study of independence movements in Spanish America.",52.0,"North America"
"F1234 .V63 M33 1988","Main Collection Storage","txu",1988.0,"Centaur of the north : Francisco Villa, the Mexican Revolution, and northern Mexico /",33.0,"North America"
"F1434 .R43 1993","3rd Floor","cou",1993.0,"Reinterpreting prehistory of Central America /",28.0,"North America"
"F1975 .A93 2007","3rd Floor","ncu",2007.0,"Puerto Rico in the American century : a history since 1898 /",14.0,"North America"
"F1026 .H348 2008","3rd Floor","bcc",2008.0,"The reluctant land : society, space, and environment in Canada before Confederation /",13.0,"North America"
"F1435.3.P6 A48","Main Collection Storage","mx",1974.0,"Textos coloniales del Libro de Chilam Balam de Chumayel y textos gli?ficos del Co?dice de Dresde /",47.0,"North America"
"F1537 .A1 E84 1987","Main Collection Storage","sw",1987.0,"Ethnic groups and the nation state : the case of the Atlantic Coast in Nicaragua /",34.0,"Europe"
"F1476.G92 A3","Main Collection Storage","nyu",1937.0,"The house in Antigua : a restoration /",84.0,"North America"
"F1034 .D35","Main Collection Storage","onc",1961.0,"The conscription crisis of 1944.",60.0,"North America"
"F2659.A1 R58 1999","3rd Floor","nyu",1999.0,"Coal to cream : a black man's journey beyond color to an affirmation of race /",22.0,"North America"
"F1221.T9 V59","3rd Floor","mau",1976.0,"Tortillas for the gods : a symbolic analysis of Zinacanteco rituals /",45.0,"North America"
"F1219.8.Z37 M37 1996","3rd Floor","nyu",1996.0,"Zapotec civilization : how urban society evolved in Mexico's Oaxaca Valley /",25.0,"North America"
"F1235 .D73 2018","3rd Floor","ncu",2018.0,"1968 Mexico : constellations of freedom and democracy /",3.0,"North America"
"F1221.Y3 H83 1984","Main Collection Storage","wiu",1984.0,"Yaqui resistance and survival : the struggle for land and autonomy, 1821-1910 /",37.0,"North America"
"F1090.5 .N6675 2001","3rd Floor","onc",2001.0,"Northern visions : new perspectives on the North in Canadian history /",20.0,"North America"
"F1435.3.K55 J33 2013","3rd Floor","oku",2013.0,"Politics of the Maya court : hierarchy and change in the late classic period /",8.0,"North America"
"F1435.1.C5 C46 1984","Main Collection Storage","txu",1984.0,"Cenote of sacrifice : Maya treasures from the sacred well at Chiche?n Itza? /",37.0,"North America"
"F1219.3.R38 G7213 1997","3rd Floor","oku",1997.0,"Myths of ancient Mexico /",24.0,"North America"
"F1418 .F68 1983","Main Collection Storage","cou",1983.0,"Foreign policy on Latin America, 1970-1980 /",38.0,"North America"
"F3429.1.S45 C37 1991","3rd Floor","pe",1991.0,"Arqueologi?a del Macizo de Illescas, Sechura-Piura : excavaciones en Bayo?var, Nunura, Avic, Reventazo?n y Chorrillos /",30.0,"South America"
"F1976 .P585 1997","3rd Floor","mnu",1997.0,"Puerto Rican jam : rethinking colonialism and nationalism /",24.0,"North America"
"F1230 .V5713 2006","3rd Floor","mau",2006.0,"The broken spears : the Aztec account of the Conquest of Mexico /",15.0,"North America"
"F1231.5 M66 1982","Main Collection Storage","nbu",1982.0,"Mexico, from independence to revolution, 1810-1910 /",39.0,"North America"
"F1435 .T497 1966","Main Collection Storage","oku",1966.0,"The rise and fall of Maya civilization /",55.0,"North America"
"F1760 .L5","Main Collection Storage","sp",1971.0,"Literatura y arte nuevo en Cuba",50.0,"Europe"
"F1875 .O88 2011","3rd Floor","alu",2011.0,"Out of many, one people : the historical archaeology of colonial Jamaica /",10.0,"North America"
"F3429 .M882 1997","3rd Floor","nyu",1997.0,"The spirit of ancient Peru : treasures from the Museo Arqueolo?gico Rafael Larco Herrera /",24.0,"North America"
"F2846 .P3647","Main Collection Storage","ag",1969.0,"El general Paz.",52.0,"South America"
"F1886 .H873","3rd Floor","enk",1939.0,"Voodoo gods : an inquiry into native myths and magic in Jamaica and Haiti /",82.0,"Europe"
"F1058 .K56 U4","Main Collection Storage","mau",1969.0,"Look to the North Star; a life of William King.",52.0,"North America"
"F3442 .C66313 1998","Main Collection Storage","ncu",1998.0,"The discovery and conquest of Peru : chronicles of the New World encounter /",23.0,"North America"
"F1216 .P67 1987","Main Collection Storage","nmu",1987.0,"Mexican churches /",34.0,"North America"
"F1376 .C42 1966","Main Collection Storage","nyu",1966.0,"The conquest and colonization of Yucatan, 1517-1550",55.0,"North America"
"F1230 .S1313 1989","3rd Floor","utu",1989.0,"Conquest of New Spain : 1585 revision /",32.0,"North America"
"F1219 .K43","3rd Floor","nju",1971.0,"The Aztec image in Western thought.",50.0,"North America"
"F1465.2.C3 C36 2006","3rd Floor","nyu",2006.0,"Engendering Mayan history : Kaqchikel women as agents and conduits of the past, 1875-1970 /",15.0,"North America"
"F1435.3.R3 F74 1993","3rd Floor","nyu",1993.0,"Maya cosmos : three thousand years on the shaman's path /",28.0,"North America"
"F2520.1.A4 X39 2002","3rd Floor","miu",2002.0,"The Xava?nte in transition : health, ecology, and bioanthropology in central Brazil /",19.0,"North America"
"F1346.P32 A28","3rd Floor","azu",1974.0,"Sonoran strongman : Ignacio Pesqueira and his times  /",47.0,"North America"
"F1528 .N498 1982","3rd Floor","nyu",1982.0,"Nicaragua in revolution /",39.0,"North America"
"F1569.C2 G66 2009","3rd Floor","nyu",2009.0,"The canal builders : making America's empire at the Panama Canal /",12.0,"North America"
"F1439.5 .C737 1988","Main Collection Storage","cou",1988.0,"Crisis in Central America : regional dynamics and U.S. policy in the 1980s /",33.0,"North America"
"F3721.1.C29 B43 2008","3rd Floor","ncu",2008.0,"Indians and leftists in the making of Ecuador's modern indigenous movements /",13.0,"North America"
"F1038 .G85 1973","Main Collection Storage","onc",1973.0,"The Acadians: creation of a people",48.0,"North America"
"F2191.J4 F33 1998","3rd Floor","nyu",1998.0,"Jews, slaves, and the slave trade : setting the record straight /",23.0,"North America"
"F3429.3 .P8 S29","3rd Floor","nyu",1966.0,"Ancient Peruvian ceramics: the Nathan Cummings collection,",55.0,"North America"
"F1419 .J4 E43","Main Collection Storage","ncu",1980.0,"Jews of the Latin American republics /",41.0,"North America"
"F1789.N3 H68 1998","3rd Floor","lau",1998.0,"Changing history : Afro-Cuban cabildos and societies of color in the nineteenth century /",23.0,"North America"
"F3326 .M25","Main Collection Storage","pau",1970.0,"Bolivia: the uncompleted revolution",51.0,"North America"
"F1219.3.W94 M37 1992","3rd Floor","nju",1992.0,"Mesoamerican writing systems : propaganda, myth, and history in four ancient civilizations /",29.0,"North America"
"F2537.C97554 H33 2013","3rd Floor","ilu",2013.0,"The scramble for the Amazon and the 'Lost paradise' of Euclides da Cunha /",8.0,"North America"
"F1035.J5 A23 1983","Main Collection Storage","nyu",1983.0,"None is too many : Canada and the Jews of Europe, 1933-1948 /",38.0,"North America"
"F1418 .G4913 1987","Main Collection Storage","ru",1987.0,"US policy in Latin America : postwar to present /",34.0,"Europe"
"F1231 .B6","Main Collection Storage","txu",1962.0,"The viceregency of Antonio Mari?a Bucareli in New Spain, 1771-1779 /",59.0,"North America"
"F1306 .A434","3rd Floor","mx",1952.0,"Problemas de la poblacion indigena de la cuenca del Tepalcatepec. Indice analitico de Susana Uribe Fernandez de Cordoba.",69.0,"North America"
"F1219 .Z94 1963","3rd Floor","mx",1963.0,"Breve y sumaria relacio?n de los sen?ores de la Nueva Espan?a /",58.0,"North America"
"F1219 .B2292 1978","3rd Floor","nyu",1978.0,"Pioneers in American anthropology : the Bandelier-Morgan letters, 1873-1883 /",43.0,"North America"
"F1232 .S46","Main Collection Storage","nyu",1978.0,"The eagle and the serpent : the Spanish and American invasions of Mexico, 1519 and 1846 /",43.0,"North America"
"F3001 B98393 1982","Main Collection Storage","txu",1982.0,"Buenos Aires, 400 years /",39.0,"North America"
"F1235 .J32 1969","3rd Floor","mx",1969.0,"De La Ciudadela a Tlatelolco; Me?xico, el islote intocado.",52.0,"North America"
"F3429 .M572 2002","3rd Floor","pe",2002.0,"Patrones arquitecto?nicos inkas /",19.0,"South America"
"F2056.8 .B87 1988","Main Collection Storage","nyu",1988.0,"Revolution and rescue in Grenada : an account of the U.S.-Caribbean invasion /",33.0,"North America"
"F3429.3 .P65 J84 1983","Main Collection Storage","cau",1983.0,"Hatunqolla, a view of Inca rule from the Lake Titicaca region /",38.0,"North America"
"F1435.3.W75 C64 2001","3rd Floor","enk",2001.0,"Reading the Maya glyphs /",20.0,"Europe"
"F1030.5 .J863 1962","3rd Floor","nyu",1962.0,"A journal of La Salle's last voyage.",59.0,"North America"
"F3429.1.A9 P73 1980","Main Collection Storage","miu",1983.0,"Prehistory of the Ayacucho Basin, Peru /",38.0,"North America"
"F1219.3.M55 A43 2003","3rd Floor","cau",2003.0,"Ancient Mesoamerican warfare /",18.0,"North America"
"F1221 .N3 S86","3rd Floor","azu",1975.0,"At the sign of midnight : the Concheros dance cult of Mexico /",46.0,"North America"
"F2849 .H6 1988","Main Collection Storage","nmu",1988.0,"Argentina, 1943-1987 : the national revolution and resistance /",33.0,"North America"
"F3100 .C4721713 2000","3rd Floor","cau",2000.0,"Chile in the nineties /",21.0,"North America"
"F1233 .J955 1979","Main Collection Storage","mx",1979.0,"Benito Jua?rez, su vida y su obra /",42.0,"North America"
"F1215 .B38","3rd Floor","pau",1931.0,"Mexican maze;",90.0,"North America"
"F1411 .C4684","Main Collection Storage","flu",1952.0,"Bartolome? de las Casas, historian; an essay in Spanish historiography.",69.0,"North America"
"F1969 .R65 2010","3rd Floor","alu",2010.0,"Rethinking Puerto Rican precolonial history /",11.0,"North America"
"F2141.Z9 S27 1993","3rd Floor","enk",1993.0,"Netherlands Antilles, and Aruba /",28.0,"Europe"
"F1419.A1 B49 2005","3rd Floor","nmu",2005.0,"Beyond black and red : African-native relations in colonial Latin America /",16.0,"North America"
"F1234 .K65 1990","3rd Floor","nbu",1990.0,"The Mexican Revolution /",31.0,"North America"
"F2131 .A96","3rd Floor","nyu",1960.0,"The British West Indies; the search for self-government.",61.0,"North America"
"F1219.1 .B3 C76 1984","3rd Floor","cau",1984.0,"The cave paintings of Baja California /",37.0,"North America"
"F2520.1.B75 C76 1985","3rd Floor","azu",1985.0,"Vital souls : Bororo cosmology, natural symbolism, and shamanism /",36.0,"North America"
"F1435 .G53 1995","3rd Floor","azu",1995.0,"People of the Chan /",26.0,"North America"
"F1033 .T76","Main Collection Storage","onc",1972.0,"Only farmers need apply: official Canadian government encouragement of immigration from the United States, 1896-1911.",49.0,"North America"
"F1414.2 .G65 1971","Main Collection Storage","nyu",1971.0,"Guerrilla movements in Latin America.",50.0,"North America"
"F1234 .L27","3rd Floor","mx",1961.0,"El eje?rcito villista.",60.0,"North America"
"F1466.4 .I36 2007","3rd Floor","pau",2007.0,"Invading Guatemala : Spanish, Nahua, and Maya accounts of the conquest wars /",14.0,"North America"
"F3325 .K4","Main Collection Storage","enk",1969.0,"Parties and political change in Bolivia, 1880-1952,",52.0,"Europe"
"F2230.2.J38 D4713 1996","3rd Floor","nyu",1996.0,"The spears of twilight : life and death in the Amazon jungle /",25.0,"North America"
"F1219 .A2","Main Collection Storage","ilu",1978.0,"Across the Chichimec Sea : papers in honor of J. Charles Kelley /",43.0,"North America"
"F2178.U6 C67 1985","Main Collection Storage","nyu",1985.0,"U.S. foreign policy in the Caribbean, Cuba, and Central America /",36.0,"North America"
"F1233 .C278","Main Collection Storage","fr",1925.0,"Charlotte de Belgique, impe?ratrice du Mexique;",96.0,"Europe"
"F3429 .M36 1968","Main Collection Storage","enk",1968.0,"The ancient civilizations of Peru /",53.0,"Europe"
"F1052 .C67","Main Collection Storage","onc",1960.0,"Cursory observations made in Quebec, Province of Lower Canada, in the year 1811.",61.0,"North America"
"F1234 .C2125","Main Collection Storage","enk",1968.0,"The Mexican Revolution, 1910-1914: the diplomacy of Anglo-American conflict.",53.0,"Europe"
"F2651.F55 G72 2009","3rd Floor","nyu",2009.0,"Fordlandia : the rise and fall of Henry Ford's forgotten jungle city /",12.0,"North America"
"F1418 .B486 1966","Main Collection Storage","nyu",1966.0,"Origins of inter-American interest, 1700-1812.",55.0,"North America"
"F1466.5 .H29 1994","3rd Floor","ncu",1994.0,"Revolution in the countryside : rural conflict and agrarian reform in Guatemala, 1944-1954 /",27.0,"North America"
"F1219.3.A7 M55 2001","3rd Floor","enk",2001.0,"The art of Mesoamerica : from Olmec to Aztec /",20.0,"Europe"
"F1505.2.C3 K47 1983","3rd Floor","ilu",1983.0,"Women and the ancestors : Black Carib kinship and ritual /",38.0,"North America"
"F1033 .L376","Main Collection Storage","onc",1971.0,"Wilfrid Laurier: the great conciliator.",50.0,"North America"
"F1435 .H79 1988","Main Collection Storage","nmu",1988.0,"Household and community in the Mesoamerican past /",33.0,"North America"
"F1221.Y3 S28","Main Collection Storage","azu",1980.0,"The autobiography of a Yaqui poet /",41.0,"North America"
"F1234 .R9114 1980","3rd Floor","nyu",1980.0,"The great rebellion : Mexico, 1905-1924 /",41.0,"North America"
"F1412 .D67 1980","Main Collection Storage","mau",1980.0,"Insurrection or loyalty : the breakdown of the Spanish American Empire /",41.0,"North America"
"F2687 .W54 2002","3rd Floor","nbu",2002.0,"The Paraguayan War /",19.0,"North America"
"F1414.2 .M54 1973","3rd Floor","cau",1973.0,"Military rule in Latin America : function, consequences, and perspectives /",48.0,"North America"
"F1234 .J835 2013","3rd Floor","ncu",2013.0,"Mexico's once and future revolution : social upheaval and the challenge of rule since the late nineteenth century /",8.0,"North America"
"F1079.B75 A76 2009","3rd Floor","quc",2009.0,"The river returns : an environmental history of the Bow /",12.0,"North America"
"F1488.3 .R64 1988","3rd Floor","dcu",1988.0,"Dialogue and armed conflict : negotiating the civil war in El Salvador /",33.0,"North America"
"F1505.2.C3 J64 2007","3rd Floor","cau",2007.0,"Diaspora conversions : Black Carib religion and the recovery of Africa /",14.0,"North America"
"F2178.U6 T7343 1994","3rd Floor","cau",1994.0,"Trends in U.S.-Caribbean relations /",27.0,"North America"
"F1052 .S63 1993","3rd Floor","enk",1993.0,"Small nations, big neighbour : Denmark and Quebec/Canada compare notes on American popular culture /",28.0,"Europe"
"F1418 .A333","3rd Floor","nyu",1968.0,"Pan-Americanism from Monroe to the present : a view from the other side /",53.0,"North America"
"F2849.P48 A6 1965","3rd Floor","nyu",1965.0,"The Pero?n era,",56.0,"North America"
"F2131 .B84","Main Collection Storage","nyu",1972.0,"No peace beyond the line; the English in the Caribbean, 1624-1690",49.0,"North America"
"F1418 .U718 1995","3rd Floor","nbu",1995.0,"United States policy in Latin America : a decade of crisis and challenge /",26.0,"North America"
"F1465 .A613","Main Collection Storage","oku",1953.0,"The annals of the Cakchiquels /",68.0,"North America"
"F1435.3.R3 C27","Main Collection Storage","mx",1964.0,"El mundo magico de los Mayas. Textos de Andre?s Medina [y] Laurette Sejourne?. Interpretacio?n de Leonora Carrington.",57.0,"North America"
"F1089.F7 B63 1997","3rd Floor","bcc",1997.0,"Mighty river : a portrait of the Fraser /",24.0,"North America"
"F2229 .M65 2017","3rd Floor","cou",2017.0,"Incidence of travel : recent journeys in ancient South America /",4.0,"North America"
"F1034 .B618 1987","Main Collection Storage","onc",1987.0,"Canada, 1900-1945 /",34.0,"North America"
"F3430.1.M6 M87 2000","3rd Floor","pe",2000.0,"La ceremonia del sacrificio : batallas y muerte en el arte mochica /",21.0,"South America"
"F3423 .S77 1973","3rd Floor","nyu",1973.0,"Peru : incidents of travel and exploration in the land of the Incas /",48.0,"North America"
"F1221.Z3 C58 1982","3rd Floor","dcu",1982.0,"Zapotec stoneworkers : the dynamics of rural simple commodity production in modern Mexican capitalism /",39.0,"North America"
"F1246 .P513","Main Collection Storage","cau",1967.0,"Informe on the new province of California, 1702 /",54.0,"North America"
"F1788 .S96 2007","3rd Floor","nyu",2007.0,"The boys from Dolores : Fidel Castro's schoolmates from revolution to exile /",14.0,"North America"
"F1465.2.C3 W37","Main Collection Storage","txu",1978.0,"The symbolism of subordination : Indian identity in a Guatemalan town /",43.0,"North America"
